性别,最高学历,大学类型,标准化借款类型,担保,项目金额,收益,周期_月,月还本息,总还款本息,借款描述字数,累积借款金额,累积还款金额,累积逾期金额,累积已还次数,累积逾期次数,累积逾借金额比,累积逾期次数比,安全标
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,12,10200,10778.19,0,51,0,0,0,1
男,专科,其他,生活开销,否,1500,70.8,6,261.8,1570.8,2,0,0,0,0,0,0,0,1
男,本科,其他,其他,是,368.42,27.34,6,65.95999,395.76,0,10590.42,11561.62,0,61,0,0,0,1
男,专科,其他,学习进修,否,1500,70.8,6,261.8,1570.8,48,200,205.35,0,3,0,0,0,1
女,专科,其他,学习进修,否,1000,20.04,2,510.02,1020.04,15,1000,1100.64,0,2,0,0,0,1
男,专科,其他,担保交易,否,1734.92,81.88,6,302.8,1816.8,0,0,0,0,0,0,0,0,1
男,本科,其他,担保交易,否,2072.92,97.82,6,361.79,2170.739,0,0,0,0,0,0,0,0,1
男,本科,其他,生活开销,否,1000,41.96,3,347.32,1041.96,18,5992.92,6243.51,0,20,0,0,0,1
男,本科,其他,创业,否,1000,21.67,1,1021.67,1021.67,11,12992.92,13503.4,0,37,0,0,0,1
男,本科,其他,创业,否,1000,21.67,1,1021.67,1021.67,16,17992.92,18613.89,0,42,0,0,0,1
男,本科,重点高校,其他,否,1864.95,54.69,4,479.91,1919.64,0,1036.08,1330.48,0,4,0,0,0,1
男,专科,其他,学习进修,否,1000,54.76,4,263.69,1054.76,13,1500,1620.97,0,3,0,0,0,1
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,2,1270,1354.6,0,9,0,0,0,0
男,专科,其他,购物,否,100,2.08,1,102.08,102.08,3,1750,1809.4,0,15,0,0,0,1
男,专科,其他,担保交易,否,192.97,9.11,6,33.68,202.08,0,0,0,0,0,0,0,0,1
男,本科,其他,生活开销,是,1000,26.78,3,342.26,1026.78,2,4000,4461.83,0,6,0,0,0,1
男,专科,其他,学习进修,否,3000,100.68,4,775.17,3100.68,1,0,0,0,0,0,0,0,1
女,本科,其他,生活开销,是,999,18.3099,1,1017.31,1017.31,16,1000,1044.12,0,4,0,0,0,1
男,专科,其他,担保交易,否,2979.17,105.08,5,616.85,3084.25,0,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,1000,32.6199,2,516.3099,1032.619,8,2816.67,3426.57,0,6,0,0,0,1
男,专科,其他,担保交易,否,204.08,2.04,1,206.12,206.12,0,0,0,0,0,0,0,0,1
男,本科,其他,其他,否,2511.49,118.49,6,438.33,2629.98,0,0,0,0,0,0,0,0,0
男,专科,其他,购物,否,1000,21.67,1,1021.67,1021.67,16,9400,10035.46,0,22,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,22,2000,2320.22,0,12,0,0,0,1
男,本科,其他,学习进修,否,1000,59.12,6,176.52,1059.119,37,0,0,0,0,0,0,0,1
男,专科,其他,生活开销,否,500,21,4,130.25,521,15,3500,3660.52,0,8,0,0,0,1
男,专科,其他,担保交易,否,3000,88,4,772,3088,0,0,0,0,0,0,0,0,0
男,专科,其他,学习进修,否,900,53.22,6,158.87,953.22,5,2200,2319.3,0,24,0,0,0,1
男,本科,重点高校,生活开销,是,1000,59.12,6,176.52,1059.119,3,7300,7713.07,0,49,0,0,0,1
男,本科,其他,学习进修,否,1000,26.78,3,342.26,1026.78,4,0,0,0,0,0,0,0,1
男,本科,其他,创业,是,1000,21.67,1,1021.67,1021.67,6,6000,8540.86,0,31,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,4,13886.6,15597.95,0,62,0,0,0,1
女,本科,其他,购物,是,1000,68.12,6,178.02,1068.119,10,9400,10161.7,0,46,0,0,0,1
男,本科,其他,购物,是,1000,74.18,6,179.03,1074.18,141,600,644.52,0,6,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,2,10000,10718.24,0,66,0,0,0,1
女,本科,其他,其他,是,1051.58,63.92,5,223.1,1115.5,0,4893.68,5192.28,0,29,0,0,0,1
女,本科,其他,其他,是,1051.58,81.16,6,188.79,1132.74,0,5945.26,6358.66,0,34,0,0,0,1
男,本科,其他,购物,是,473,29.38,6,83.73,502.38,21,5526.32,5767.97,0,28,0,0,0,1
男,本科,其他,生活开销,否,500,12.54,2,256.27,512.54,37,0,0,0,0,0,0,0,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,11,1900,2053.15,0,14,0,0,0,1
男,本科,其他,购物,是,400,23.66,6,70.61,423.66,2,6500,6937.77,0,45,0,0,0,1
男,本科,其他,学习进修,否,1000,42,4,260.5,1042,2,2000,3391.18,0,16,0,0,0,1
女,本科,其他,其他,是,830.53,51.59,6,147.02,882.12,0,4100,4315.75,0,19,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,2,11942,12693.06,0,78,0,0,0,1
男,本科,其他,学习进修,否,1000,77.18,6,179.53,1077.18,32,1000,1187.13,0,6,0,0,0,1
女,本科,其他,创业,否,1000,25.06,2,512.53,1025.06,3,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,4,7200,7654.5,0,45,0,0,0,1
男,专科,其他,生活开销,否,700,22.84,2,361.42,722.84,4,6300,3756.8,5641.9,9,8,0.47244576,0.47058824,0
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,4,3000,3141.77,0,6,0,0,0,1
