性别,最高学历,大学类型,标准化借款类型,担保,项目金额,收益,周期_月,月还本息,总还款本息,借款描述字数,累积借款金额,累积还款金额,累积逾期金额,累积已还次数,累积逾期次数,累积逾借金额比,累积逾期次数比,安全标
男,硕士研究生,重点高校,购物,是,1000,77.18,6,179.53,1077.18,11,5000,3805.94,4404.28,19,11,0.4683272,0.36666667,0
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,1,1000,538.59,1237.8,3,3,0.55313253,0.5,0
男,专科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,38,2000,0,5680.39,0,12,0.73959655,1,0
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,13,0,0,0,0,0,0,0,1
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,6,0,0,0,0,0,0,0,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,7,2000,3006.18,0,12,0,0,0,1
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,10,1000,0,2839.83,0,6,0.7395718,1,0
男,本科,重点高校,购物,是,1000,77.18,6,179.53,1077.18,68,0,0,0,0,0,0,0,0
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,23,4000,5414.23,0,24,0,0,0,0
男,专科,其他,社交娱乐,是,1000,77.18,6,179.53,1077.18,5,3000,4259.19,0,18,0,0,0,1
男,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,12,3000,3764.16,1067.73,15,3,0.26248792,0.16666667,0
男,专科,其他,购物,是,1000,43.64,3,347.88,1043.64,2,1000,1084.25,0,6,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,24,1000,1873.1,0,6,0,0,0,1
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,5,0,0,0,0,0,0,0,1
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,5,1000,0,2738.14,0,6,0.73248726,1,0
男,硕士研究生,重点高校,购物,是,1000,43.64,3,347.88,1043.64,13,6000,6261.84,0,18,0,0,0,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,10,4000,4308.9,0,24,0,0,0,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,10,5000,5386.14,0,30,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,76,1000,1591.22,347.33,5,1,0.25779134,0.16666666,0
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,19,2000,1282.96,3344.49,4,8,0.6257828,0.6666667,0
女,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,10,5000,1615.87,8568.69,9,21,0.6315046,0.7,0
男,硕士研究生,其他,学习进修,是,1000,77.18,6,179.53,1077.18,39,3000,3231.54,0,18,0,0,0,1
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,7,3000,0,7988.25,0,18,0.7269811,1,0
男,专科,重点高校,创业,是,1000,77.18,6,179.53,1077.18,42,0,0,0,0,0,0,0,1
男,专科,重点高校,创业,是,1000,77.18,6,179.53,1077.18,34,5000,8424.05,0,30,0,0,0,1
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,23,0,0,0,0,0,0,0,1
女,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,52,3000,0,7962.63,0,18,0.72634304,1,0
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,4,3000,4387.02,0,18,0,0,0,1
男,专科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,3,3000,179.54,6535.33,1,17,0.6853806,0.9444444,0
女,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,35,3000,4206.59,0,18,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,8,3000,4204.28,0,18,0,0,0,1
男,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,28,5000,1974.94,7240.62,11,19,0.59152395,0.6333333,0
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,22,3000,0,8146.38,0,18,0.73085433,1,0
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,48,0,0,0,0,0,0,0,1
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,16,4000,4005.46,3662.97,14,10,0.47800916,0.41666666,0
男,专科,其他,学习进修,是,1000,33.53,3,344.51,1033.53,6,1000,0,2960.41,0,3,0.7475009,0.99999994,0
男,专科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,14,0,0,0,0,0,0,0,1
男,本科,其他,付房租,是,1000,77.18,6,179.53,1077.18,30,1000,1077.18,0,6,0,0,0,1
女,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,35,1000,1428.63,0,6,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,11,1000,879.79,596.86,4,2,0.373771,0.3333333,0
男,专科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,17,0,0,0,0,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,37,4000,8310.36,0,24,0,0,0,1
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,4,2000,3480.95,0,12,0,0,0,1
男,专科,其他,旅游,是,1000,43.64,3,347.88,1043.64,16,3456.38,3723.34,0,24,0,0,0,1
男,硕士研究生,其他,学习进修,是,1000,77.18,6,179.53,1077.18,4,1000,0,2689.52,0,6,0.728962,1,0
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,3,0,0,0,0,0,0,0,0
男,专科,其他,购物,是,1000,59.12,6,176.52,1059.119,14,0,0,0,0,0,0,0,1
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,15,0,0,0,0,0,0,0,0
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,64,1000,0,2593.74,0,6,0.72173834,1,0
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,23,3000,1077.22,4789.69,6,12,0.61487556,0.6666667,0
女,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,15,0,0,0,0,0,0,0,1
女,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,10,2000,3941.28,0,12,0,0,0,1
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,15,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,9,1000,1289.52,0,6,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,14,1000,1077.24,0,6,0,0,0,1
男,专科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,39,2000,1502.08,1426.38,8,4,0.4162936,0.33333334,0
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,23,5000,1616.8,8338.78,9,21,0.6251531,0.7,0
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,41,4000,5570.25,0,24,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,6,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,12,5000,5752.33,0,30,0,0,0,1
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,12,3000,3395.81,1451.94,14,4,0.32613647,0.22222222,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,2,5000,5387.42,0,30,0,0,0,1
女,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,12,0,0,0,0,0,0,0,1
女,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,6,0,0,0,0,0,0,0,1
女,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,21,1000,1077.18,0,6,0,0,0,1
女,本科,其他,创业,是,1000,65.95,5,213.19,1065.95,47,2000,0,5562.23,0,8,0.73552775,1,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,2,5000,1646.26,10029.46,6,24,0.6673201,0.8,0
女,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,38,4000,0,10523.44,0,24,0.72458315,1,0
女,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,53,3000,0,7896.55,0,18,0.7246835,1,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,4,0,0,0,0,0,0,0,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,13,1000,1429.52,0,6,0,0,0,1
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,8,5000,0,12684.33,0,30,0.7172638,1,0
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,2,0,0,0,0,0,0,0,1
男,本科,重点高校,学习进修,是,1000,77.18,6,179.53,1077.18,39,0,0,0,0,0,0,0,1
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,36,4000,824.16,8628.48,3,21,0.6832556,0.875,0
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,26,5000,0,12721.43,0,30,0.71785575,1,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,16,2000,2154.48,0,12,0,0,0,1
男,专科,其他,创业,是,600,46.32,6,107.72,646.32,3,1600,1724.06,0,18,0,0,0,1
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,2,4200,4526.25,0,36,0,0,0,1
男,专科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,5,0,0,0,0,0,0,0,1
女,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,8,2000,2154.36,0,12,0,0,0,1
女,专科,其他,旅游,是,1000,54.76,4,263.69,1054.76,80,5000,3705.49,3390.74,15,7,0.404105,0.3181818,0
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,12,5000,5386.96,0,30,0,0,0,1
女,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,15,2000,2421.92,0,12,0,0,0,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,2,0,0,0,0,0,0,0,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,4,0,0,0,0,0,0,0,1
女,本科,其他,购物,是,1000,54.76,4,263.69,1054.76,21,5000,0,13206.11,0,20,0.72536695,1,0
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,6,3000,4189.75,326.38,17,1,0.09811868,0.055555556,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,63,0,0,0,0,0,0,0,0
男,专科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,66,0,0,0,0,0,0,0,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,4,0,0,0,0,0,0,0,0
男,本科,其他,购物,是,500,10.83,1,510.83,510.83,6,5500,5971.98,1381.22,12,4,0.20072313,0.25,1
男,本科,其他,付房租,是,1000,21.67,1,1021.67,1021.67,6,6000,6484.55,1381.22,13,4,0.18712625,0.23529412,1
男,本科,其他,创业,是,1000,43.64,3,347.88,1043.64,14,0,0,0,0,0,0,0,1
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,4,2000,2564.31,0,12,0,0,0,1
男,本科,重点高校,购物,是,1000,77.18,6,179.53,1077.18,10,6000,6463.2,0,36,0,0,0,1
男,本科,重点高校,购物,是,1000,77.18,6,179.53,1077.18,10,9000,9694.74,0,54,0,0,0,1
女,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,21,5000,5385.9,0,30,0,0,0,1
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,41,0,0,0,0,0,0,0,1
男,专科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,52,2000,1918.75,659.68,10,2,0.24802984,0.16666667,0
男,专科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,23,3000,2872.54,554.82,16,2,0.15607542,0.11111111,0
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,22,3000,718.16,5460.02,4,14,0.6453909,0.7777778,0
女,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,14,1000,1350.05,0,6,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,25,1000,1134.8,0,6,0,0,0,1
女,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,6,1000,0,2499.36,0,6,0.71423346,1,0
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,37,1000,0,2434.51,0,6,0.7088376,1,0
男,硕士研究生,重点高校,学习进修,是,1000,59.12,6,176.52,1059.119,6,7000,7785.27,0,42,0,0,0,1
女,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,16,3000,1416.81,3801.08,7,11,0.55889356,0.6111111,0
男,专科,其他,生活开销,是,1000,43.64,3,347.88,1043.64,4,1000,1098.66,256.22,5,1,0.20396109,0.16666666,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,32,3000,0,7250.61,0,18,0.7073345,1,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,7,3000,3308.59,0,18,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,46,1000,1562.76,0,6,0,0,0,0
男,本科,重点高校,旅游,是,1000,77.18,6,179.53,1077.18,120,0,0,0,0,0,0,0,1
男,本科,重点高校,旅游,是,1000,77.18,6,179.53,1077.18,120,2000,2209.54,0,12,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,11,2000,2154.36,0,12,0,0,0,1
女,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,25,4000,0,10308,0,24,0.7204361,1,0
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,39,4000,0,8562.79,0,24,0.6815994,1,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,7,1000,1065,0,1,0,0,0,1
女,本科,其他,旅游,是,1000,43.64,3,347.88,1043.64,8,1000,718.12,673.97,4,2,0.40261772,0.3333333,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,14,2000,2154.55,0,12,0,0,0,1
男,专科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,5,4000,3758.05,928.03,16,3,0.18831663,0.15789473,0
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,23,0,0,0,0,0,0,0,0
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,120,4000,4308.72,0,24,0,0,0,1
女,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,34,2000,2213.21,0,12,0,0,0,1
女,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,4,0,0,0,0,0,0,0,1
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,50,2000,2752.78,0,12,0,0,0,1
男,本科,其他,学习进修,是,1000,65.12,6,177.52,1065.119,19,0,0,0,0,0,0,0,1
男,专科,其他,创业,是,1000,43.64,3,347.88,1043.64,2,9000,9502.63,1144.82,25,2,0.11284774,0.074074075,0
男,专科,其他,创业,是,1000,43.64,3,347.88,1043.64,2,11000,10836.96,2942.31,28,5,0.21103461,0.15151516,0
男,专科,其他,创业,是,1000,55.65,5,211.13,1055.65,11,2000,2110.12,0,11,0,0,0,1
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,2,100,215.74,0,6,0,0,0,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,54,4000,4317.12,0,24,0,0,0,1
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,19,3000,3627.03,0,18,0,0,0,0
男,专科,其他,创业,是,1000,43.64,3,347.88,1043.64,10,5000,1464.85,11834.88,2,13,0.70299757,0.8666667,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,2,2000,0,5175.36,0,12,0.72126836,1,0
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,10,2000,2154.95,0,12,0,0,0,1
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,39,4000,718.2,7389.12,4,20,0.6487876,0.8333333,0
女,本科,重点高校,购物,是,1000,77.18,6,179.53,1077.18,21,1000,1077.18,0,6,0,0,0,1
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,8,4000,3590.98,1123,20,4,0.2192075,0.16666667,0
女,本科,其他,学习进修,是,1000,43.64,3,347.88,1043.64,32,2000,0,5289.44,0,6,0.7256305,1,0
男,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,4,3000,3141.6,0,18,0,0,0,1
女,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,50,1000,1047.18,0,6,0,0,0,1
女,本科,重点高校,购物,是,1000,47.18,6,174.53,1047.18,66,1000,1047.18,0,6,0,0,0,1
男,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,42,0,0,0,0,0,0,0,1
女,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,6,2000,2094.36,0,12,0,0,0,1
女,本科,重点高校,付房租,是,1000,47.18,6,174.53,1047.18,80,3000,3141.54,0,18,0,0,0,1
女,本科,重点高校,旅游,是,1000,47.18,6,174.53,1047.18,9,2000,2094.36,0,12,0,0,0,1
男,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,15,2000,2094.36,0,12,0,0,0,1
男,本科,其他,学习进修,是,1000,47.18,6,174.53,1047.18,38,2000,2094.36,0,12,0,0,0,1
男,本科,其他,创业,是,1000,47.18,6,174.53,1047.18,12,4000,4188.72,0,24,0,0,0,1
女,本科,其他,生活开销,是,1000,47.18,6,174.53,1047.18,5,4000,4188.72,0,24,0,0,0,1
男,本科,其他,生活开销,是,1000,47.18,6,174.53,1047.18,4,3000,3141.54,0,18,0,0,0,1
男,本科,其他,付房租,是,1000,47.18,6,174.53,1047.18,58,2000,2094.36,0,12,0,0,0,1
男,本科,重点高校,创业,是,1000,47.18,6,174.53,1047.18,12,3000,3141.54,0,18,0,0,0,1
男,专科,其他,生活开销,是,1000,43.64,3,347.88,1043.64,40,2000,2335.28,0,6,0,0,0,1
男,本科,其他,学习进修,是,1000,59.12,6,176.52,1059.119,13,2000,2154.36,0,12,0,0,0,1
女,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,68,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,1000,43.64,3,347.88,1043.64,52,4000,6752.9,0,12,0,0,0,1
男,本科,其他,购物,是,1000,43.64,3,347.88,1043.64,52,5000,8648.87,0,15,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,17,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,1000,25.06,2,512.53,1025.06,14,0,0,0,0,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,50,2000,2541.22,0,12,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,10,2000,2154.54,0,12,0,0,0,1
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,4,4000,0,9293.2,0,24,0.6990943,1,0
男,本科,其他,生活开销,是,1000,43.64,3,347.88,1043.64,27,1000,960.34,704.82,2,1,0.4134278,0.3333333,0
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,28,0,0,0,0,0,0,0,0
男,本科,重点高校,学习进修,是,1000,77.18,6,179.53,1077.18,19,4000,3591.93,1243.25,20,4,0.23711438,0.16666667,0
男,专科,其他,创业,是,1000,43.64,3,347.88,1043.64,76,2000,0,5312.59,0,6,0.7264991,1,0
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,24,1000,1077.18,0,6,0,0,0,1
女,本科,重点高校,学习进修,是,1000,59.12,6,176.52,1059.119,28,2000,2572.57,0,12,0,0,0,1
男,专科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,16,1000,1077.18,0,6,0,0,0,1
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,15,0,0,0,0,0,0,0,1
女,本科,重点高校,付房租,是,1000,77.18,6,179.53,1077.18,17,0,0,0,0,0,0,0,1
女,本科,重点高校,购物,是,1000,65.95,5,213.19,1065.95,13,2000,2323.79,0,11,0,0,0,1
男,本科,其他,购物,是,1000,59.12,6,176.52,1059.119,9,0,0,0,0,0,0,0,0
女,本科,其他,创业,是,1000,43.64,3,347.88,1043.64,83,0,0,0,0,0,0,0,0
男,本科,重点高校,付房租,是,1000,77.18,6,179.53,1077.18,17,1000,1077.3,0,6,0,0,0,1
男,专科,其他,创业,是,1000,43.64,3,347.88,1043.64,2,1000,0,2743.06,0,3,0.7328389,0.99999994,0
男,专科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,50,2000,0,4605.46,0,12,0.6972202,1,0
女,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,50,2000,1256.93,1494.98,7,5,0.42775065,0.41666666,0
女,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,18,3000,179.92,5919.39,1,17,0.66365415,0.9444444,0
女,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,26,2000,1781.78,842.85,9,3,0.29648066,0.25,0
女,硕士研究生,重点高校,其他,是,508.51,22.19,3,176.9,530.7,0,5000,444.62,11855.02,1,8,0.70335245,0.8888889,0
女,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,145,4000,0,8536.77,0,24,0.68093854,1,0
女,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,125,5000,0,10671.32,0,30,0.6809458,1,0
女,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,116,1000,0,2134.29,0,6,0.6809485,1,0
男,专科,其他,购物,是,1000,59.12,6,176.52,1059.119,3,1000,176.53,1531.66,1,5,0.6050022,0.8333333,0
男,专科,其他,学习进修,是,1000,43.64,3,347.88,1043.64,33,0,0,0,0,0,0,0,1
男,专科,其他,学习进修,是,1000,43.64,3,347.88,1043.64,33,1000,1496.95,0,3,0,0,0,1
男,本科,其他,社交娱乐,是,1000,77.18,6,179.53,1077.18,4,3000,4654.98,499.2,16,2,0.14266118,0.11111111,0
男,本科,其他,创业,是,1000,65.95,5,213.19,1065.95,75,5000,2367.33,5942.02,10,15,0.543046,0.6,0
男,专科,其他,创业,是,1000,43.64,3,347.88,1043.64,37,3000,1043.99,4600.56,3,6,0.60529226,0.6666667,0
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,28,0,0,0,0,0,0,0,0
男,硕士研究生,其他,旅游,是,1000,43.64,3,347.88,1043.64,4,4000,5785.07,1587.16,16,2,0.28407276,0.11111111,0
男,本科,其他,生活开销,是,1000,43.64,3,347.88,1043.64,34,3000,0,7880.91,0,9,0.72428775,1,0
男,硕士研究生,重点高校,其他,是,446.81,9.68,1,456.49,456.49,0,529.79,0,1461.33,0,2,0.7339236,0.99999994,0
女,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,39,1000,0,2302.73,0,6,0.69722015,1,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,6,4000,4472.73,0,24,0,0,0,1
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,83,1000,1842.8,0,6,0,0,0,1
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,15,2000,1162.6,1940.51,6,6,0.4924515,0.5,0
男,本科,其他,学习进修,是,1000,43.64,3,347.88,1043.64,33,3000,0,8068.09,0,9,0.7289505,1,0
男,专科,其他,创业,是,1000,43.64,3,347.88,1043.64,15,4000,1079.21,7732.04,2,10,0.6590533,0.8333333,0
男,专科,其他,创业,是,1000,43.64,3,347.88,1043.64,15,5000,1079.21,10180.09,2,13,0.6706212,0.8666667,0
男,专科,其他,学习进修,是,1000,43.64,3,347.88,1043.64,16,3000,3132.03,0,9,0,0,0,0
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,41,2000,0,4732.4,0,12,0.70292914,1,0
男,本科,其他,生活开销,是,600,46.32,6,107.72,646.32,6,1000,1077.18,0,6,0,0,0,1
男,本科,其他,购物,是,1000,59.12,6,176.52,1059.119,11,0,0,0,0,0,0,0,0
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,31,3000,0,6084.54,0,18,0.66976863,1,0
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,29,1000,1602.88,0,6,0,0,0,1
男,专科,重点高校,购物,是,1000,77.18,6,179.53,1077.18,2,2000,0,4582.72,0,12,0.6961742,1,0
男,专科,其他,学习进修,是,1000,43.64,3,347.88,1043.64,4,5000,0,11714.72,0,15,0.70086247,1,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,9,4000,179.53,8135.25,1,23,0.6703817,0.9583333,0
男,专科,其他,创业,是,1000,43.64,3,347.88,1043.64,65,0,0,0,0,0,0,0,0
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,55,0,0,0,0,0,0,0,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,20,3000,0,6285.63,0,18,0.6769201,1,0
女,专科,其他,付房租,是,1000,77.18,6,179.53,1077.18,13,0,0,0,0,0,0,0,1
男,专科,其他,购物,是,1000,43.64,3,347.88,1043.64,12,5000,6908.33,0,30,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,54,1000,1077.18,0,6,0,0,0,1
男,本科,其他,购物,是,1000,33.53,3,344.51,1033.53,9,1000,824.83,625.34,2,1,0.3847441,0.3333333,0
女,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,8,0,0,0,0,0,0,0,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,30,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,25,3000,3231.54,0,18,0,0,0,1
女,专科,其他,购物,是,1000,43.64,3,347.88,1043.64,56,2000,0,5209.63,0,6,0.72259325,1,0
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,9,1000,1077.18,0,6,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,4,2000,2154.36,0,12,0,0,0,1
女,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,63,3000,622.63,5214.46,3,15,0.63479036,0.8333333,0
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,20,1000,0,2448.05,0,3,0.709981,0.99999994,0
女,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,43,4000,0,8424.16,0,24,0.67804664,1,0
男,专科,重点高校,创业,是,1000,77.18,6,179.53,1077.18,12,2000,360.01,3655.4,2,10,0.6463557,0.8333333,0
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,22,1000,840.96,533.85,4,2,0.34804577,0.3333333,0
女,专科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,7,5000,899.56,9197.18,5,25,0.6478174,0.8333333,0
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,56,4000,4308.91,0,24,0,0,0,1
男,本科,重点高校,学习进修,是,1000,77.18,6,179.53,1077.18,2,4000,4308.78,0,24,0,0,0,1
女,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,10,4000,4308.84,0,24,0,0,0,1
男,本科,其他,付房租,是,1000,77.18,6,179.53,1077.18,24,5000,3663.03,5244.02,15,15,0.5119104,0.5,0
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,27,0,0,0,0,0,0,0,1
女,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,14,2000,2154.86,0,12,0,0,0,1
女,本科,其他,创业,是,1000,21.67,1,1021.67,1021.67,27,5000,0,11994.75,0,13,0.7057915,1,0
男,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,10,2000,2142.37,0,7,0,0,0,1
女,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,9,0,0,0,0,0,0,0,0
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,27,3000,0,6172.92,0,18,0.6729504,1,0
女,专科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,19,3000,3716.52,0,18,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,2,3000,3233.12,0,18,0,0,0,1
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,13,5000,0,10460.16,0,30,0.67658806,1,0
男,专科,其他,学习进修,是,1000,43.64,3,347.88,1043.64,29,1000,0,2531.65,0,3,0.7168462,0.99999994,0
女,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,10,3000,2390.29,1657.58,12,6,0.35588866,0.33333334,0
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,35,1000,897.7,241.88,5,1,0.19476922,0.16666666,0
